day;hour; production 
2012-01-10;12; -   
2012-01-10;13; -   
2012-01-10;14; -   
2012-01-10;15; -   
2012-01-10;16; -   
2012-01-10;17; -   
2012-01-10;18; -   
2012-01-10;19; -   
2012-01-10;20; -   
2012-01-10;21; -   
2012-01-10;22; -   
2012-01-10;23; -   
2012-01-10;24; -   
2012-01-11;1; -   
2012-01-11;2; -   
2012-01-11;3; -   
2012-01-11;4; -   
2012-01-11;5; -   
2012-01-11;6; -   
2012-01-11;7; -   
2012-01-11;8; -   
2012-01-11;9; -   
2012-01-11;10; -   
2012-01-11;11; -   
2012-01-11;12; -   
2012-01-11;13; -   
2012-01-11;14; -   
2012-01-11;15; -   
2012-01-11;16; -   
2012-01-11;17; -   
2012-01-11;18; -   
2012-01-11;19; -   
2012-01-11;20; -   
2012-01-11;21; -   
2012-01-11;22; -   
2012-01-11;23; -   
2012-01-11;24; -   
2012-01-12;1; -   
2012-01-12;2; -   
2012-01-12;3; -   
2012-01-12;4; -   
2012-01-12;5; -   
2012-01-12;6; -   
2012-01-12;7; -   
2012-01-12;8; -   
2012-01-12;9; -   
2012-01-12;10; -   
2012-01-12;11; -   
2012-01-12;12; -   
2012-01-12;13; -   
2012-01-12;14; -   
2012-01-12;15; -   
2012-01-12;16; -   
2012-01-12;17; -   
2012-01-12;18; -   
2012-01-12;19; -   
2012-01-12;20; -   
2012-01-12;21; -   
2012-01-12;22; -   
2012-01-12;23; -   
2012-01-12;24; -   
2012-01-13;1; -   
2012-01-13;2; -   
2012-01-13;3; -   
2012-01-13;4; -   
2012-01-13;5; -   
2012-01-13;6; -   
2012-01-13;7; -   
2012-01-13;8; -   
2012-01-13;9; -   
2012-01-13;10; -   
2012-01-13;11; -   
2012-01-13;12; -   
2012-01-13;13; -   
2012-01-13;14; -   
2012-01-13;15; -   
2012-01-13;16; -   
2012-01-13;17; -   
2012-01-13;18; -   
2012-01-13;19; -   
2012-01-13;20; -   
2012-01-13;21; -   
2012-01-13;22; -   
2012-01-13;23; -   
2012-01-13;24; -   
2012-01-14;1; -   
2012-01-14;2; -   
2012-01-14;3; -   
2012-01-14;4; -   
2012-01-14;5; -   
2012-01-14;6; -   
2012-01-14;7; -   
2012-01-14;8; -   
2012-01-14;9; -   
2012-01-14;10; -   
2012-01-14;11; -   
2012-01-14;12; -   
2012-01-14;13; -   
2012-01-14;14; -   
2012-01-14;15; -   
2012-01-14;16; -   
2012-01-14;17; -   
2012-01-14;18; -   
2012-01-14;19; -   
2012-01-14;20; -   
2012-01-14;21; -   
2012-01-14;22; -   
2012-01-14;23; -   
2012-01-14;24; -   
2012-01-15;1; -   
2012-01-15;2; -   
2012-01-15;3; -   
2012-01-15;4; -   
2012-01-15;5; -   
2012-01-15;6; -   
2012-01-15;7; -   
2012-01-15;8; -   
2012-01-15;9; -   
2012-01-15;10; -   
2012-01-15;11; -   
2012-01-15;12; -   
2012-01-15;13; -   
2012-01-15;14; -   
2012-01-15;15; -   
2012-01-15;16; -   
2012-01-15;17; -   
2012-01-15;18; -   
2012-01-15;19; -   
2012-01-15;20; -   
2012-01-15;21; -   
2012-01-15;22; -   
2012-01-15;23; -   
2012-01-15;24; -   
2012-01-16;1; -   
2012-01-16;2; -   
2012-01-16;3; -   
2012-01-16;4; -   
2012-01-16;5; -   
2012-01-16;6; -   
2012-01-16;7; -   
2012-01-16;8; -   
2012-01-16;9; -   
2012-01-16;10; -   
2012-01-16;11; -   
2012-01-16;12; -   
2012-01-16;13; -   
2012-01-16;14; -   
2012-01-16;15; -   
2012-01-16;16; -   
2012-01-16;17; -   
2012-01-16;18; -   
2012-01-16;19; -   
2012-01-16;20; -   
2012-01-16;21; -   
2012-01-16;22; -   
2012-01-16;23; -   
2012-01-16;24; -   
2012-01-17;1; -   
2012-01-17;2; -   
2012-01-17;3; -   
2012-01-17;4; -   
2012-01-17;5; -   
2012-01-17;6; -   
2012-01-17;7; -   
2012-01-17;8; -   
2012-01-17;9; -   
2012-01-17;10; -   
2012-01-17;11; -   
2012-01-17;12; -   
2012-01-17;13; -   
2012-01-17;14; -   
2012-01-17;15; -   
2012-01-17;16; -   
2012-01-17;17; -   
2012-01-17;18; -   
2012-01-17;19; -   
2012-01-17;20; -   
2012-01-17;21; -   
2012-01-17;22; -   
2012-01-17;23; -   
2012-01-17;24; -   
2012-01-18;1; -   
2012-01-18;2; -   
2012-01-18;3; -   
2012-01-18;4; -   
2012-01-18;5; -   
2012-01-18;6; -   
2012-01-18;7; -   
2012-01-18;8; -   
2012-01-18;9; -   
2012-01-18;10; 0,132 
2012-01-18;11; 0,248 
2012-01-18;12; 0,216 
2012-01-18;13; 0,132 
2012-01-18;14; -   
2012-01-18;15; -   
2012-01-18;16; -   
2012-01-18;17; -   
2012-01-18;18; -   
2012-01-18;19; -   
2012-01-18;20; -   
2012-01-18;21; -   
2012-01-18;22; -   
2012-01-18;23; -   
2012-01-18;24; -   
2012-01-19;1; -   
2012-01-19;2; -   
2012-01-19;3; -   
2012-01-19;4; -   
2012-01-19;5; -   
2012-01-19;6; -   
2012-01-19;7; -   
2012-01-19;8; -   
2012-01-19;9; -   
2012-01-19;10; -   
2012-01-19;11; -   
2012-01-19;12; -   
2012-01-19;13; -   
2012-01-19;14; -   
2012-01-19;15; -   
2012-01-19;16; -   
2012-01-19;17; -   
2012-01-19;18; -   
2012-01-19;19; -   
2012-01-19;20; -   
2012-01-19;21; -   
2012-01-19;22; -   
